county_name,county_fips,state_abbr,state_name,AE_WUE_avg (L/kWh),WEC_WUE_avg (L/kWh),water_dollars_per_kgal ($/kgal),effective_water_AE (¢/kWh IT),effective_water_WEC (¢/kWh IT)
Autauga County,01001,AL,Alabama,1.793199,2.090095,3.9246,0.186,0.217
Baldwin County,01003,AL,Alabama,1.960695,2.092758,3.9246,0.203,0.217
Barbour County,01005,AL,Alabama,1.839067,2.090599,3.9246,0.191,0.217
Bibb County,01007,AL,Alabama,1.769892,2.089482,3.9246,0.183,0.217
Blount County,01009,AL,Alabama,1.661749,2.08783,3.9246,0.172,0.216
Bullock County,01011,AL,Alabama,1.813066,2.090303,3.9246,0.188,0.217
Butler County,01013,AL,Alabama,1.847267,2.090964,3.9246,0.192,0.217
Calhoun County,01015,AL,Alabama,1.674746,2.087969,3.9246,0.174,0.216
Chambers County,01017,AL,Alabama,1.72528,2.088803,3.9246,0.179,0.217
Cherokee County,01019,AL,Alabama,1.62544,2.088532,3.9246,0.169,0.217
Chilton County,01021,AL,Alabama,1.754568,2.089352,3.9246,0.182,0.217
Choctaw County,01023,AL,Alabama,1.864845,2.090835,3.9246,0.193,0.217
Clarke County,01025,AL,Alabama,1.89215,2.091299,3.9246,0.196,0.217
Clay County,01027,AL,Alabama,1.66476,2.087833,3.9246,0.173,0.216
Cleburne County,01029,AL,Alabama,1.621629,2.08736,3.9246,0.168,0.216
Coffee County,01031,AL,Alabama,1.882185,2.091432,3.9246,0.195,0.217
Colbert County,01033,AL,Alabama,1.668232,2.087997,3.9246,0.173,0.216
Conecuh County,01035,AL,Alabama,1.882957,2.091355,3.9246,0.195,0.217
Coosa County,01037,AL,Alabama,1.744813,2.089029,3.9246,0.181,0.217
Covington County,01039,AL,Alabama,1.896888,2.091724,3.9246,0.197,0.217
Crenshaw County,01041,AL,Alabama,1.845322,2.09082,3.9246,0.191,0.217
Cullman County,01043,AL,Alabama,1.663925,2.088083,3.9246,0.173,0.216
Dale County,01045,AL,Alabama,1.87354,2.091358,3.9246,0.194,0.217
Dallas County,01047,AL,Alabama,1.836069,2.090807,3.9246,0.19,0.217
DeKalb County,01049,AL,Alabama,1.504738,2.085915,3.9246,0.156,0.216
Elmore County,01051,AL,Alabama,1.793227,2.090137,3.9246,0.186,0.217
Escambia County,01053,AL,Alabama,1.922466,2.092142,3.9246,0.199,0.217
Etowah County,01055,AL,Alabama,1.640429,2.088088,3.9246,0.17,0.216
Fayette County,01057,AL,Alabama,1.725823,2.088915,3.9246,0.179,0.217
Franklin County,01059,AL,Alabama,1.654878,2.087698,3.9246,0.172,0.216
Geneva County,01061,AL,Alabama,1.90301,2.091912,3.9246,0.197,0.217
Greene County,01063,AL,Alabama,1.820312,2.090333,3.9246,0.189,0.217
Hale County,01065,AL,Alabama,1.830106,2.090492,3.9246,0.19,0.217
Henry County,01067,AL,Alabama,1.863809,2.090954,3.9246,0.193,0.217
Houston County,01069,AL,Alabama,1.892143,2.091641,3.9246,0.196,0.217
Jackson County,01071,AL,Alabama,1.571128,2.087206,3.9246,0.163,0.216
Jefferson County,01073,AL,Alabama,1.722274,2.088735,3.9246,0.179,0.217
Lamar County,01075,AL,Alabama,1.737461,2.088996,3.9246,0.18,0.217
Lauderdale County,01077,AL,Alabama,1.626533,2.08764,3.9246,0.169,0.216
Lawrence County,01079,AL,Alabama,1.64636,2.087781,3.9246,0.171,0.216
Lee County,01081,AL,Alabama,1.751899,2.089352,3.9246,0.182,0.217
Limestone County,01083,AL,Alabama,1.63785,2.087747,3.9246,0.17,0.216
Lowndes County,01085,AL,Alabama,1.829526,2.090756,3.9246,0.19,0.217
Macon County,01087,AL,Alabama,1.79342,2.090101,3.9246,0.186,0.217
Madison County,01089,AL,Alabama,1.587914,2.087265,3.9246,0.165,0.216
Marengo County,01091,AL,Alabama,1.856926,2.090804,3.9246,0.193,0.217
Marion County,01093,AL,Alabama,1.683454,2.088297,3.9246,0.175,0.217
Marshall County,01095,AL,Alabama,1.616102,2.087881,3.9246,0.168,0.216
Mobile County,01097,AL,Alabama,1.962955,2.092949,3.9246,0.204,0.217
Monroe County,01099,AL,Alabama,1.894085,2.091328,3.9246,0.196,0.217
Montgomery County,01101,AL,Alabama,1.825159,2.090653,3.9246,0.189,0.217
Morgan County,01103,AL,Alabama,1.654274,2.087809,3.9246,0.172,0.216
Perry County,01105,AL,Alabama,1.816316,2.090398,3.9246,0.188,0.217
Pickens County,01107,AL,Alabama,1.781997,2.08963,3.9246,0.185,0.217
Pike County,01109,AL,Alabama,1.82882,2.090631,3.9246,0.19,0.217
Randolph County,01111,AL,Alabama,1.67754,2.088001,3.9246,0.174,0.216
Russell County,01113,AL,Alabama,1.805954,2.090142,3.9246,0.187,0.217
St. Clair County,01115,AL,Alabama,1.683855,2.088333,3.9246,0.175,0.217
Shelby County,01117,AL,Alabama,1.730264,2.088907,3.9246,0.179,0.217
Sumter County,01119,AL,Alabama,1.823837,2.090349,3.9246,0.189,0.217
Talladega County,01121,AL,Alabama,1.729603,2.088739,3.9246,0.179,0.217
Tallapoosa County,01123,AL,Alabama,1.759177,2.089896,3.9246,0.182,0.217
Tuscaloosa County,01125,AL,Alabama,1.766702,2.08976,3.9246,0.183,0.217
Walker County,01127,AL,Alabama,1.710136,2.088913,3.9246,0.177,0.217
Washington County,01129,AL,Alabama,1.907801,2.091703,3.9246,0.198,0.217
Wilcox County,01131,AL,Alabama,1.873136,2.091286,3.9246,0.194,0.217
Winston County,01133,AL,Alabama,1.662307,2.087966,3.9246,0.172,0.216
Apache County,04001,AZ,Arizona,1.084301,2.075805,4.216,0.121,0.231
Cochise County,04003,AZ,Arizona,1.464793,2.08081,4.216,0.163,0.232
Coconino County,04005,AZ,Arizona,1.055036,2.075337,4.216,0.118,0.231
Gila County,04007,AZ,Arizona,1.481439,2.08186,4.216,0.165,0.232
Graham County,04009,AZ,Arizona,1.716035,2.083975,4.216,0.191,0.232
Greenlee County,04011,AZ,Arizona,1.433948,2.080373,4.216,0.16,0.232
La Paz County,04012,AZ,Arizona,1.832301,2.08518,4.216,0.204,0.232
Maricopa County,04013,AZ,Arizona,1.886458,2.086171,4.216,0.21,0.232
