county_fips,mean_drought,max_drought,pct_weeks_d1_plus,pct_weeks_d2_plus,county_name,state_abbr
01001,0.3973,2.5,22.9755,1.6949,Autauga County,AL
01003,0.5134,2.5,27.1186,1.8832,Baldwin County,AL
01005,0.4717,2.6824,23.5405,2.6365,Barbour County,AL
01007,0.4622,2.904,27.1186,4.7081,Bibb County,AL
01009,0.4774,3.0,24.6704,7.533,Blount County,AL
01011,0.3929,2.5126,19.209,2.6365,Bullock County,AL
01013,0.4378,2.5,22.9755,2.6365,Butler County,AL
01015,0.5136,3.0,25.4237,5.838,Calhoun County,AL
01017,0.4393,3.0,20.1507,4.1431,Chambers County,AL
01019,0.5309,3.0,25.0471,7.9096,Cherokee County,AL
01021,0.4533,2.8451,25.4237,3.2015,Chilton County,AL
01023,0.4264,2.5,21.6573,2.4482,Choctaw County,AL
01025,0.4327,2.5,20.7156,2.0716,Clarke County,AL
01027,0.5014,3.0,23.5405,3.2015,Clay County,AL
01029,0.5114,3.0,22.4105,5.0847,Cleburne County,AL
01031,0.4876,2.5,27.8719,2.6365,Coffee County,AL
01033,0.4649,2.9054,25.8004,4.5198,Colbert County,AL
01035,0.4918,2.5,29.5669,3.0132,Conecuh County,AL
01037,0.4572,2.9911,22.5989,2.6365,Coosa County,AL
01039,0.5052,2.5,28.8136,3.2015,Covington County,AL
01041,0.4374,2.5,24.6704,1.6949,Crenshaw County,AL
01043,0.4707,2.7726,24.8588,6.2147,Cullman County,AL
01045,0.506,2.5,28.4369,2.8249,Dale County,AL
01047,0.3746,2.5,18.2674,1.3183,Dallas County,AL
01049,0.5359,3.0,28.6252,7.9096,DeKalb County,AL
01051,0.3569,2.5086,18.4557,2.2599,Elmore County,AL
01053,0.5036,2.5,28.2486,2.6365,Escambia County,AL
01055,0.5035,3.0,25.0471,8.0979,Etowah County,AL
01057,0.5351,2.5003,29.5669,5.6497,Fayette County,AL
01059,0.4533,2.8552,24.8588,5.0847,Franklin County,AL
01061,0.4778,2.5,27.6836,4.1431,Geneva County,AL
01063,0.4641,2.5121,25.8004,4.7081,Greene County,AL
01065,0.4379,2.5427,23.7288,3.5782,Hale County,AL
01067,0.5184,2.5,29.0019,2.8249,Henry County,AL
01069,0.4706,2.4818,27.307,2.2599,Houston County,AL
01071,0.5632,2.9895,28.0603,8.6629,Jackson County,AL
01073,0.5073,3.0,26.3653,8.0979,Jefferson County,AL
01075,0.5491,2.6897,28.8136,5.838,Lamar County,AL
01077,0.4914,2.7979,26.177,5.4614,Lauderdale County,AL
01079,0.4861,2.9434,25.6121,6.0264,Lawrence County,AL
01081,0.3579,2.6776,17.3258,3.0132,Lee County,AL
01083,0.5431,2.9004,27.1186,7.9096,Limestone County,AL
01085,0.397,2.5,22.2222,1.3183,Lowndes County,AL
01087,0.3594,2.5,19.5857,2.4482,Macon County,AL
01089,0.5293,2.6438,25.6121,6.403,Madison County,AL
01091,0.4361,2.5,24.1055,3.2015,Marengo County,AL
01093,0.5046,2.8875,27.6836,5.2731,Marion County,AL
01095,0.507,2.9966,25.6121,6.2147,Marshall County,AL
01097,0.4558,2.5,22.7872,3.0132,Mobile County,AL
01099,0.4971,2.5,23.1638,2.8249,Monroe County,AL
01101,0.3536,2.5,18.2674,2.2599,Montgomery County,AL
01103,0.4846,2.6061,26.742,4.5198,Morgan County,AL
01105,0.3942,2.5,21.6573,1.6949,Perry County,AL
01107,0.5033,2.5457,27.307,6.0264,Pickens County,AL
01109,0.4501,2.5,24.8588,2.4482,Pike County,AL
01111,0.456,3.0,22.7872,3.9548,Randolph County,AL
01113,0.3718,2.5478,21.0923,2.6365,Russell County,AL
01115,0.4911,3.0,24.8588,7.7213,St. Clair County,AL
01117,0.5401,3.0,27.8719,6.5913,Shelby County,AL
01119,0.4467,2.5,25.2354,2.0716,Sumter County,AL
01121,0.4943,3.0,26.177,4.7081,Talladega County,AL
01123,0.4521,2.9199,22.4105,3.2015,Tallapoosa County,AL
01125,0.513,2.9773,25.6121,6.5913,Tuscaloosa County,AL
01127,0.5146,2.6434,25.9887,5.6497,Walker County,AL
01129,0.4006,2.5,19.3974,3.0132,Washington County,AL
01131,0.4164,2.5,20.904,2.0716,Wilcox County,AL
01133,0.4624,2.5354,25.6121,5.2731,Winston County,AL
04001,1.558,3.0,76.2712,22.9755,Apache County,AZ
04003,1.3135,3.0,71.3748,17.5141,Cochise County,AZ
04005,1.3567,3.0,67.6083,18.0791,Coconino County,AZ
04007,1.3718,3.0,74.9529,19.9623,Gila County,AZ
04009,1.3601,3.0,73.6347,19.5857,Graham County,AZ
04011,1.4094,3.0,74.1996,24.2938,Greenlee County,AZ
04012,1.2919,2.5,66.6667,20.5273,La Paz County,AZ
04013,1.321,2.6506,74.9529,16.7608,Maricopa County,AZ
04015,1.3691,2.988,70.4331,23.1638,Mohave County,AZ
04017,1.5314,3.0,77.7778,29.3785,Navajo County,AZ
04019,1.1952,2.7669,67.9849,14.3126,Pima County,AZ
04021,1.317,2.9098,73.4463,16.3842,Pinal County,AZ
04023,1.2674,3.0,71.3748,23.9171,Santa Cruz County,AZ
04025,1.2015,2.9496,69.6798,13.936,Yavapai County,AZ
04027,1.1904,2.5,60.8286,12.9944,Yuma County,AZ
05001,0.455,2.4912,24.4821,3.2015,Arkansas County,AR
05003,0.5114,2.523,26.5537,6.0264,Ashley County,AR
05005,0.4152,2.5,22.0339,4.3315,Baxter County,AR
05007,0.4834,2.5,27.8719,2.4482,Benton County,AR
05009,0.4276,2.5,26.5537,4.3315,Boone County,AR
05011,0.4801,2.5,28.2486,5.0847,Bradley County,AR
05013,0.4555,2.5,28.4369,3.7665,Calhoun County,AR
05015,0.4626,2.5,29.0019,2.6365,Carroll County,AR
05017,0.5004,2.5,25.9887,5.6497,Chicot County,AR
05019,0.4671,2.5,27.6836,3.0132,Clark County,AR
05021,0.3186,2.048,18.4557,0.7533,Clay County,AR
05023,0.3512,2.4915,20.5273,1.6949,Cleburne County,AR
05025,0.4579,2.5,29.0019,3.0132,Cleveland County,AR
05027,0.5496,2.6983,33.145,4.7081,Columbia County,AR
05029,0.4242,2.3962,24.8588,2.8249,Conway County,AR
05031,0.313,2.1269,17.1375,1.6949,Craighead County,AR
05033,0.4083,2.5,21.4689,7.3446,Crawford County,AR
05035,0.36,2.037,17.5141,1.5066,Crittenden County,AR
05037,0.3568,2.3549,18.6441,2.6365,Cross County,AR
05039,0.464,2.5,27.307,3.0132,Dallas County,AR
05041,0.4645,2.7022,22.4105,3.2015,Desha County,AR
05043,0.448,2.5,25.2354,3.2015,Drew County,AR
05045,0.4217,2.5,23.3522,3.0132,Faulkner County,AR
