time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,11.74,64.8,1002.78,1.2235351321230625,1.2395758115522806,3A
2025-01-01 01:00:00,11.02,67.0,1003.58,1.2234911032952096,1.2395208636720798,3A
2025-01-01 02:00:00,10.48,67.4,1004.28,1.2234526356123967,1.2394751211903434,3A
2025-01-01 03:00:00,9.620000000000001,71.6,1004.64,1.2234328731061939,1.2394369717093823,3A
2025-01-01 04:00:00,9.080000000000002,74.0,1005.16,1.2234043522552864,1.2393995730602136,3A
2025-01-01 05:00:00,8.459999999999999,75.8,1005.74,1.2233725753301439,1.2393574601756727,3A
2025-01-01 06:00:00,7.980000000000001,77.4,1005.86,1.2233660053692712,1.2393399150119326,3A
2025-01-01 07:00:00,7.359999999999999,78.6,1006.26,1.223344116816783,1.2393060772641835,3A
2025-01-01 08:00:00,6.819999999999999,79.2,1006.94,1.2233069461879569,1.2392615168651675,3A
2025-01-01 09:00:00,6.3,78.4,1007.5,1.2232763727570723,1.23922297630066,3A
2025-01-01 10:00:00,5.779999999999999,78.0,1008.08,1.2232447432270908,1.239183570068126,3A
2025-01-01 11:00:00,5.38,78.2,1008.56,1.2232185945755836,1.2391517527604994,3A
2025-01-01 12:00:00,5.04,79.2,1009.16,1.22318594374146,1.2391160310642724,3A
2025-01-01 13:00:00,4.340000000000001,81.6,1009.98,1.2231413836730822,1.2390613906566523,3A
2025-01-01 14:00:00,5.3,77.4,1010.88,1.2230925594962918,1.2390447348441633,3A
2025-01-01 15:00:00,7.12,68.8,1011.8,1.2230427401131148,1.239048690044036,3A
2025-01-01 16:00:00,8.7,60.4,1012.4,1.2230102979923259,1.2390610783482345,3A
2025-01-01 17:00:00,9.84,56.2,1012.22,1.223020026590204,1.2390976655872792,3A
2025-01-01 18:00:00,10.62,53.8,1011.6,1.2230535627054062,1.2391451663522524,3A
2025-01-01 19:00:00,11.38,50.2,1010.84,1.2230947276135484,1.2391985684858322,3A
2025-01-01 20:00:00,11.62,49.4,1010.6,1.2231077399213208,1.2392154490044387,3A
2025-01-01 21:00:00,11.38,50.0,1010.8,1.2230968959024013,1.239200381130691,3A
2025-01-01 22:00:00,10.58,52.6,1011.06,1.223082805091593,1.2391686022823363,3A
2025-01-01 23:00:00,8.8,60.6,1011.38,1.2230654725007044,1.2391096347344026,3A
2025-01-02 00:00:00,7.540000000000001,64.8,1011.96,1.2230340851193504,1.2390519617258142,3A
2025-01-02 01:00:00,7.0,68.6,1012.36,1.2230124596039933,1.2390204389971922,3A
2025-01-02 02:00:00,6.12,72.0,1012.68,1.2229951714920362,1.2389840570966744,3A
2025-01-02 03:00:00,5.279999999999999,75.0,1013.04,1.222975735421251,1.238946897457191,3A
2025-01-02 04:00:00,4.64,77.4,1013.42,1.2229552345494452,1.2389138541009976,3A
2025-01-02 05:00:00,4.2,78.8,1013.66,1.222942294549939,1.2388921049704993,3A
2025-01-02 06:00:00,3.680000000000001,80.4,1013.8,1.2229347490462157,1.2388728574484928,3A
2025-01-02 07:00:00,3.26,81.8,1013.84,1.2229325935707662,1.2388605922890814,3A
2025-01-02 08:00:00,2.86,83.6,1013.92,1.2229282831300792,1.238847033417879,3A
2025-01-02 09:00:00,2.52,84.2,1014.04,1.2229218187442763,1.2388331797680128,3A
2025-01-02 10:00:00,2.04,84.4,1013.92,1.2229282831300792,1.238826592039689,3A
2025-01-02 11:00:00,1.66,85.2,1013.9,1.2229293606764806,1.2388180152328454,3A
2025-01-02 12:00:00,1.22,86.2,1014.42,1.2229013582790174,1.2387837668767938,3A
2025-01-02 13:00:00,0.38,87.0,1015.28,1.2228551095699123,1.2387244064405674,3A
2025-01-02 14:00:00,1.62,81.6,1015.78,1.2228282567862052,1.238732947612513,3A
2025-01-02 15:00:00,3.86,72.0,1016.56,1.2227864191897844,1.2387538534319233,3A
2025-01-02 16:00:00,6.34,62.8,1016.46,1.222791779395881,1.2388199842770846,3A
2025-01-02 17:00:00,8.4,56.0,1015.52,1.2228422169337216,1.2389133048368757,3A
2025-01-02 18:00:00,9.940000000000001,51.8,1014.32,1.2229067411256513,1.2390055327523155,3A
2025-01-02 19:00:00,11.1,48.2,1013.36,1.2229584705070267,1.2390776765088096,3A
2025-01-02 20:00:00,11.7,46.0,1012.72,1.2229930112462353,1.239121522271526,3A
2025-01-02 21:00:00,11.82,45.6,1012.4,1.2230102979923259,1.2391389720723762,3A
2025-01-02 22:00:00,11.18,48.2,1012.4,1.2230102979923259,1.2391229938725523,3A
2025-01-02 23:00:00,8.58,60.2,1012.3,1.2230157023417962,1.2390625934551822,3A
2025-01-03 00:00:00,7.12,66.2,1012.44,1.2230081365514625,1.2390198294492623,3A
2025-01-03 01:00:00,6.840000000000001,69.0,1012.68,1.2229951714920362,1.2390020276013645,3A
2025-01-03 02:00:00,6.62,70.2,1013.06,1.222974656044568,1.2389794306858284,3A
2025-01-03 03:00:00,6.24,71.6,1013.2,1.2229671016009398,1.2389636521708938,3A
2025-01-03 04:00:00,5.959999999999999,72.4,1013.52,1.2229498421382201,1.2389422813619073,3A
2025-01-03 05:00:00,5.64,73.2,1013.52,1.2229498421382201,1.2389343010904268,3A
2025-01-03 06:00:00,4.92,76.2,1013.46,1.2229530774572561,1.238919040602003,3A
2025-01-03 07:00:00,4.48,78.4,1013.5,1.222950920535336,1.2389062707284553,3A
2025-01-03 08:00:00,4.42,78.4,1013.72,1.2229390605074275,1.2388948973282923,3A
2025-01-03 09:00:00,4.04,81.0,1013.86,1.2229315158968217,1.2388791407576991,3A
2025-01-03 10:00:00,3.96,82.6,1013.82,1.22293367128723,1.2388789409225474,3A
2025-01-03 11:00:00,3.78,83.8,1014.0,1.2229239733695403,1.2388663797232213,3A
2025-01-03 12:00:00,3.46,84.0,1014.2,1.2229132019427869,1.238849437469114,3A
2025-01-03 13:00:00,2.88,83.8,1014.66,1.2228884437760366,1.2388143816428143,3A
2025-01-03 14:00:00,4.46,80.2,1014.9,1.2228755353810088,1.2388429895743929,3A
2025-01-03 15:00:00,7.159999999999999,70.8,1015.3,1.22285403495076,1.2388922990468791,3A
2025-01-03 16:00:00,9.74,60.8,1015.62,1.2228368468003419,1.2389421711084148,3A
2025-01-03 17:00:00,11.5,53.6,1015.2,1.2228594084699334,1.2390048341739957,3A
2025-01-03 18:00:00,12.38,50.2,1014.14,1.2229164329247206,1.2390744408973438,3A
2025-01-03 19:00:00,12.96,47.8,1013.24,1.2229649435719123,1.239129485176892,3A
2025-01-03 20:00:00,13.1,46.8,1012.64,1.2229973319084997,1.2391600789154813,3A
2025-01-03 21:00:00,12.76,47.6,1012.24,1.2230189454640228,1.2391696746075687,3A
2025-01-03 22:00:00,11.96,49.0,1012.36,1.2230124596039933,1.239144274938595,3A
