time,T_oa,RH_oa,P_hPa,PUE_AE,PUE_WEC,Zone
2025-01-01 00:00:00,-9.66,75.6,812.48,1.2369916476874157,1.249727060518377,6B
2025-01-01 01:00:00,-11.1,78.6,811.5,1.2371607562169393,1.2497502405623546,6B
2025-01-01 02:00:00,-12.36,84.0,810.54,1.2372798207741658,1.2497776985171134,6B
2025-01-01 03:00:00,-13.46,85.6,809.7,1.237423739786787,1.2498018556775283,6B
2025-01-01 04:00:00,-13.72,83.6,809.54,1.2374809941721814,1.2498048867541698,6B
2025-01-01 05:00:00,-13.6,80.4,809.5600000000001,1.2375066878873315,1.2498072396677333,6B
2025-01-01 06:00:00,-13.76,79.4,809.3199999999999,1.2375505130098283,1.2498189721434525,6B
2025-01-01 07:00:00,-13.66,78.0,809.04,1.237583113119872,1.2498416246877928,6B
2025-01-01 08:00:00,-13.9,77.2,808.42,1.237662524616067,1.249877413019781,6B
2025-01-01 09:00:00,-13.86,76.0,807.86,1.2377212841384506,1.2499178188740891,6B
2025-01-01 10:00:00,-13.6,75.0,807.96,1.2377058540227064,1.2499189564988014,6B
2025-01-01 11:00:00,-14.02,77.6,807.2,1.2377713748077506,1.2499590258567055,6B
2025-01-01 12:00:00,-14.08,79.6,807.1,1.237762067742442,1.249964155417361,6B
2025-01-01 13:00:00,-13.46,79.2,806.9399999999999,1.2377347611865264,1.2499947923901318,6B
2025-01-01 14:00:00,-13.4,79.6,806.96,1.2377238418470795,1.2499952688644316,6B
2025-01-01 15:00:00,-13.16,79.8,806.8399999999999,1.2377134238884162,1.250011205595232,6B
2025-01-01 16:00:00,-11.82,77.2,807.6600000000001,1.2375687734431502,1.2499956573302238,6B
2025-01-01 17:00:00,-10.22,73.6,808.8199999999999,1.2373842996841011,1.249964478303264,6B
2025-01-01 18:00:00,-8.559999999999999,70.4,809.42,1.2372333518027943,1.2499743798221328,6B
2025-01-01 19:00:00,-7.540000000000001,69.2,809.22,1.2371728290608723,1.2500202230965551,6B
2025-01-01 20:00:00,-6.980000000000001,69.2,808.72,1.2371584142060694,1.250072735564916,6B
2025-01-01 21:00:00,-6.9,70.6,808.5,1.2371413746366273,1.2500906595918473,6B
2025-01-01 22:00:00,-7.06,72.6,808.48,1.2371212862342313,1.2500870600843252,6B
2025-01-01 23:00:00,-7.42,74.2,808.64,1.2371160492400244,1.2500645899743945,6B
2025-01-02 00:00:00,-8.64,80.2,808.72,1.2371328042031613,1.2500208543765625,6B
2025-01-02 01:00:00,-9.180000000000001,85.0,809.0,1.2370870129050087,1.2499843839587246,6B
2025-01-02 02:00:00,-9.36,85.8,808.92,1.2371004452829848,1.2499843564101567,6B
2025-01-02 03:00:00,-9.540000000000001,85.2,808.98,1.2371244294789525,1.249974535311881,6B
2025-01-02 04:00:00,-10.08,85.2,808.78,1.2371981247286172,1.249971651366266,6B
2025-01-02 05:00:00,-10.52,85.4,808.92,1.237227836010868,1.2499481110494017,6B
2025-01-02 06:00:00,-10.98,84.8,809.1,1.2372662665303702,1.2499211593117963,6B
2025-01-02 07:00:00,-11.28,84.6,809.1600000000001,1.2372924282549906,1.249907596676423,6B
